tract2,FIPS,county,sqmi,pop15den,pop90,pop00,pop15,nhw90,nhw00,nhw15,blk90,blk00,blk15,asian90,asian00,asian15,hisp90,hisp00,hisp15,lths90,lths00,lths15,col90,col00,col15,jobs15,povt90,povt00,povt15,inc15,inc90,inc00,rent90,rent00,rent15,burd90,burd00,burd15,mgr90,mgr00,mgr15,hcv00,hcv15,chg_mgr15,chg_nhw00,chg_nhw15,chg_lths00,chg_lths15,chg_col00,chg_col15,chg_inc00,chg_inc15,chg_burd00,chg_burd15,chg_mgr00,chg_hcv15,race90,race00,race15,disadv00,disadv15,gent00,gent15,disadv,gent,job15den
6037212304,06037212304,37,0.07941311,23509.97209,3195.696135,2285,1867,0.059002869,0.064332604,0.124799143,0.083213773,0.064770241,0.031065881,0.06276901,0.057768053,0.128548473,0.842360127,0.807877462,0.706480986,0.682325887,0.608482871,0.42310757,0.096911958,0.070146819,0.247808765,3495,0.377351586,0.432882883,0.347080878,27105,31533.70022,32803.65591,0.990023453,0.976982097,0.993917275,0.486069947,0.280104712,0.598531212,818.1556342,630.3383399,858,0.011508951,0,227.6616601,0.005329734,0.060466539,-0.073843016,-0.185375301,-0.026765139,0.177661946,1269.955689,-5698.655905,-0.205965235,0.3184265,-187.8172942,-0.011508951,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",44010.36554
6037212305,06037212305,37,0.04172143,72624.5481,2428.641039,3201,3030,0.046897899,0.03686348,0.036633663,0.032893666,0.032177445,0.030693069,0.289692233,0.119962512,0.148844884,0.682299291,0.80006248,0.773267327,0.59496124,0.553017945,0.437341451,0.089147287,0.131593257,0.142567225,227,0.306185737,0.30497543,0.367583692,31023,37057.63712,29678.8206,0.96125769,0.933194154,0.963775024,0.52161215,0.408277405,0.628090999,839.2693279,639.972332,817,0.010438413,0.025738799,177.027668,-0.010034419,-0.000229817,-0.041943296,-0.115676493,0.04244597,0.010973968,-7378.816528,1344.179403,-0.113334745,0.219813594,-199.2969959,0.015300385,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",5440.848983
6037212306,06037212306,37,0.06251805,49361.74433,3712.358869,3666,3086,0.046897899,0.027823241,0.02624757,0.032893666,0.020458265,0.00712897,0.289692233,0.35106383,0.54536617,0.682299323,0.591380251,0.418664938,0.59496124,0.488095238,0.207466919,0.089147287,0.152472527,0.300094518,359,0.306185725,0.360615216,0.234931951,31742,37057.63866,32789.42624,0.961257771,0.963090129,0.955288048,0.52161215,0.459893048,0.631863186,839.2693279,812.0079051,1070,0.017167382,0.011177988,257.9920949,-0.019074659,-0.001575671,-0.106866002,-0.280628319,0.063325241,0.14762199,-4268.212421,-1047.426236,-0.061719101,0.171970138,-27.26142281,-0.005989394,03. Majority Hisp,03. Majority Hisp,04. Majority Asian,1,1,0,0,Disadvantaged Both Decades,Gentrified 1990-2000 Only,5742.341612
6037212410,06037212410,37,0.06069063,68132.42835,3766.408211,4264,4135,0.088341681,0.06402439,0.089721886,0.064691152,0.053705441,0.071825877,0.363522538,0.371482176,0.389600967,0.52295493,0.504690432,0.433615478,0.505782393,0.416755793,0.31557377,0.166391315,0.226737968,0.280737705,4788,0.307455575,0.309574218,0.203385732,35089,33396.55338,36288.50184,0.973909523,0.962351387,0.963570128,0.548765174,0.457789979,0.641461878,1018.735725,951.0126482,1281,0.005284016,0.009714633,329.9873518,-0.02431729,0.025697496,-0.0890266,-0.101182023,0.060346653,0.053999737,2891.948461,-1199.501839,-0.090975194,0.183671898,-67.72307689,0.004430617,03. Majority Hisp,03. Majority Hisp,05. No Majority,1,1,0,0,Disadvantaged Both Decades,Gentrified 1990-2000 Only,78891.91462
6037212420,06037212420,37,0.0553879,60554.7421,3421.592001,3778,3354,0.088341681,0.030439386,0.020572451,0.064691152,0.021704606,0.056052475,0.363522538,0.323716252,0.33273703,0.522954922,0.61858126,0.562015504,0.505782393,0.464110566,0.325734327,0.166391315,0.172982613,0.179745726,272,0.307455583,0.378001549,0.314847943,27500,33396.55358,30408.80262,0.973909531,0.982112436,0.951954397,0.548765174,0.530789245,0.627887083,1018.735725,818.8893281,1045,0.017035775,0.017100977,226.1106719,-0.057902295,-0.009866935,-0.041671827,-0.138376239,0.006591298,0.006763113,-2987.750966,-2908.802615,-0.017975928,0.097097838,-199.8463971,6.52021E-05,03. Majority Hisp,03. Majority Hisp,03. Majority Hisp,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",4910.819872
6037212501,06037212501,37,0.03073219,70219.53203,2560.410609,2855,2158,0.099763335,0.070530612,0.169138091,0.064991808,0.041142857,0.067191844,0.258874932,0.251755102,0.267377201,0.59129801,0.622530631,0.487025023,0.481853054,0.501826356,0.161945813,0.211566834,0.161562237,0.371305419,36,0.329559976,0.385587656,0.205282669,34146,37203.491,34465.6817,0.966807197,0.968720375,0.966700303,0.478474114,0.405577299,0.521920668,918.4456796,802.373913,1002,0.009478673,0.009081736,199.626087,-0.029232723,0.098607478,0.019973302,-0.339880543,-0.050004597,0.209743182,-2737.809299,-319.6816977,-0.072896815,0.116343369,-116.0717666,-0.000396937,03. Majority Hisp,03. Majority Hisp,05. No Majority,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",1171.410173
6037212502,06037212502,37,0.1100719,25347.0686,2932.589324,3270,2790,0.099763335,0.070530612,0.136917563,0.064991808,0.041142857,0.066308244,0.258874932,0.251755102,0.395340502,0.591298034,0.622530596,0.365949821,0.481853054,0.501826356,0.164013507,0.211566834,0.161562237,0.412445731,3037,0.329559988,0.385587656,0.14808175,38403,37203.49031,34465.68272,0.966807174,0.96872033,0.949019608,0.478474114,0.405577299,0.566115702,918.4456796,802.373913,1140,0.009478673,0.010196078,337.626087,-0.029232723,0.066386951,0.019973302,-0.337812849,-0.050004597,0.250883494,-2737.807591,3937.317278,-0.072896815,0.160538403,-116.0717666,0.000717406,03. Majority Hisp,03. Majority Hisp,05. No Majority,1,1,0,0,Disadvantaged Both Decades,Gentrified 2000-2015 Only,27591.05639
6037212610,06037212610,37,0.1378987,28071.33062,4474.572403,4144,3871,0.114007734,0.073600386,0.101782485,0.121616565,0.056467181,0.044949625,0.406885369,0.375,0.594161715,0.368965947,0.47972973,0.244897959,0.360271318,0.335466867,0.226602674,0.137403101,0.200677711,0.379842304,3391,0.219398078,0.262065637,0.240506329,31261,37629.97031,34525.44585,0.901204817,0.893236074,0.820441989,0.519480519,0.518930958,0.68013468,953.6351693,849.1675889,1080,0.012599469,0.008839779,230.8324111,-0.040407347,0.028182099,-0.02480445,-0.108864193,0.06327461,0.179164593,-3104.524455,-3264.445852,-0.000549562,0.161203722,-104.4675803,-0.00375969,05. No Majority,05. No Majority,04. Majority Asian,1,1,0,0,Disadvantaged Both Decades,Gentrified 1990-2000 Only,24590.51463
6037212620,06037212620,37,0.1114368,41359.76625,3542.427431,4999,4609,0.114007734,0.050410082,0.032545021,0.121616565,0.057011402,0.053156867,0.406885369,0.464492899,0.443914081,0.368965931,0.420684137,0.477543936,0.360271318,0.39740342,0.331272085,0.137403101,0.221975934,0.27237927,365,0.219398071,0.280856171,0.284009547,34536,37629.96854,35781.92562,0.901204779,0.924114671,0.947424893,0.519480519,0.45863747,0.695356738,953.6351693,882.198419,1044,0.016863406,0.035944206,161.801581,-0.063597652,-0.017865061,0.037132102,-0.066131335,0.084572833,0.050403336,-1848.042912,-1245.925623,-0.06084305,0.236719269,-71.43675031,0.0190808,05. No Majority,05. No Majority,05. No Majority,1,1,0,0,Disadvantaged Both Decades,Gentrified 1990-2000 Only,3275.39915
6037212701,06037212701,37,0.1813201,13765.71048,2480.969765,2670,2496,0.27309103,0.167621993,0.112580128,0.12204068,0.104105345,0.030448718,0.370456819,0.481797057,0.523237179,0.248582861,0.230364053,0.33974359,0.223598131,0.20340811,0.224092583,0.312149533,0.386108714,0.351920042,583,0.097380216,0.161290326,0.161427358,46154,79567.20659,68366.44309,0.571564423,0.569285102,0.580103359,0.350249584,0.434108527,0.743875278,1131.342092,985.4197628,1103,0.007943513,0.015503876,117.5802372,-0.105469038,-0.055041864,-0.02019002,0.020684472,0.073959182,-0.034188672,-11200.7635,-22212.44309,0.083858943,0.309766751,-145.9223291,0.007560363,05. No Majority,05. No Majority,04. Majority Asian,0,0,0,0,,,3215.308176
